Study_Hours,Attendance,Previous_Score,Assignment_Score,Internal_Assessment,Quiz_Score,Sleep_Hours,Previous_GPA,Backlogs,Internet_Usage,Extracurricular,Participation,Final_Score
33,73,71,70,43,90,4,2.6049326349229394,0,Medium,No,High,71.04414512202273
19,68,68,54,62,93,9,3.717396242489148,0,High,Yes,Medium,65.77710012267859
12,99,82,97,81,50,5,3.714461874739582,0,Medium,No,High,80.96564186054302
25,61,41,69,59,69,7,3.529301900769747,2,Low,Yes,Low,52.850232756016524
23,84,99,86,54,99,4,2.293390228030363,1,Medium,No,High,85.89586453962391
27,98,62,52,89,87,5,3.380645693801458,1,Medium,Yes,Medium,76.62065518144539
15,68,58,93,91,92,5,3.8900481291611375,0,High,Yes,High,78.36787070970736
15,81,70,82,84,74,9,3.365080957534314,1,Medium,Yes,Low,77.46965548031221
28,63,90,58,68,61,6,2.663233698215668,0,Low,Yes,Low,71.24339525700334
28,85,44,58,47,77,6,3.0011586348616626,0,Medium,Yes,Medium,59.02976804071453
7,88,58,53,80,70,4,3.291450086702107,0,Medium,No,Medium,69.40342215319382
26,93,73,84,87,53,6,3.021140817457007,0,Medium,Yes,Medium,78.12878390214375
6,82,49,66,58,63,5,2.2399058834619394,1,High,No,Low,61.20406767565603
28,96,64,83,87,89,6,2.6241280893040413,0,Medium,Yes,High,79.50794034729809
34,70,41,73,78,88,8,3.604792061107265,0,Medium,Yes,High,66.73289160167961
6,65,50,81,85,71,6,3.722836092191035,0,High,No,Medium,67.35898360646821
25,77,89,50,67,75,5,2.2746000654311405,0,High,Yes,High,73.86251549436817
37,80,70,57,85,71,9,3.9047735047974492,0,High,Yes,High,71.62985365034973
16,95,95,94,96,94,4,2.6576452356972187,0,High,Yes,Medium,94.24559376931661
26,97,54,72,66,54,7,3.3246274774614397,1,Low,Yes,Medium,66.96938155923682
29,93,48,96,43,82,6,3.5036502919133623,0,Low,No,Low,70.13781774221688
31,76,62,89,97,97,5,3.623892469275767,0,Medium,Yes,Low,77.5226237392448
32,96,58,61,54,74,7,3.89149940445186,0,Low,Yes,Low,64.25205984863511
20,84,48,61,74,42,7,2.6258390960576454,1,Medium,No,Low,59.168833138853955
19,97,74,95,76,55,8,3.7170129091031088,0,Low,No,High,79.35556437054228
7,71,60,96,40,44,7,2.263373806872414,0,High,Yes,High,60.5418016451359
11,82,48,64,42,60,9,3.4100818127071855,0,High,Yes,Low,59.11306993410756
25,81,67,90,86,49,5,3.483955459027972,0,Low,No,Low,74.36225089005328
13,80,85,68,63,58,5,3.355446482402641,0,Low,Yes,Medium,72.25077281355453
22,86,90,75,66,64,6,2.504629472270306,1,Medium,No,High,77.1936186363617
8,90,46,78,79,43,6,3.7460862940304067,0,Medium,Yes,High,68.33018802021562
29,65,55,71,75,68,6,2.3377169267407902,0,Medium,No,Low,67.71918143737028
18,86,55,89,73,58,9,2.1072695830416617,1,High,No,High,69.43752928621717
13,99,99,70,68,82,7,3.4349299812238243,0,High,No,Medium,85.83057913427429
30,93,72,87,63,41,7,2.9509514304654676,0,High,Yes,Medium,73.51547041522338
6,71,43,69,63,49,8,3.6981960399173524,0,High,Yes,High,58.31801386554871
24,66,43,78,81,82,9,2.7667942821165177,0,Medium,Yes,Low,65.61340364588389
32,69,78,53,43,64,6,2.3365571770154254,0,High,Yes,High,64.19908611990621
11,76,79,56,42,59,4,3.6728843849397395,0,High,No,Medium,62.1027408579164
12,85,56,77,73,87,8,3.0978192632801433,2,High,No,Low,69.36269776669351
39,80,76,77,96,58,4,2.3783915847807098,3,High,No,High,72.2536271900492
18,87,78,53,88,62,7,3.4407679971728915,0,Low,Yes,Low,72.92031611598718
21,61,99,71,62,63,8,3.022227276979001,0,Medium,Yes,Low,74.65905471142781
8,60,91,61,92,50,8,3.20862596448064,0,Medium,Yes,Medium,70.57698923859775
6,95,68,94,95,85,5,2.9217966764131638,1,High,No,Low,80.69937283408137
10,85,91,52,91,73,7,3.657417967636013,0,Low,Yes,High,79.72163015591838
8,88,75,71,62,94,7,3.6591254313660997,0,Medium,Yes,Low,76.24087396852477
33,80,99,93,84,67,9,3.4187776436487725,1,Medium,No,Low,81.39634867684795
22,70,77,51,44,44,8,2.2108027547929243,1,High,No,High,56.276443401731115
30,99,78,73,70,98,7,3.6777077238081377,1,High,Yes,Medium,79.06724181241587
38,70,89,83,92,44,8,3.3420259610658194,0,Medium,No,Medium,79.24916099546348
14,95,76,76,80,90,9,3.394048332008599,1,Medium,Yes,High,80.85822802273694
18,98,91,90,96,60,9,2.725965680807743,2,Low,No,High,82.55679560368542
35,99,74,50,96,51,5,3.758559112314013,0,Medium,No,Medium,72.8744681900577
19,94,46,57,99,89,8,3.4507432004697147,0,Medium,No,Low,74.82416883221445
12,93,66,72,93,43,7,2.2251809330583887,0,High,Yes,High,75.0722048703939
18,83,67,87,45,93,7,2.8155560688123256,3,Medium,Yes,Low,66.56387914403635
27,81,61,55,76,88,8,3.7727607239202836,0,High,Yes,High,72.42705171925265
25,64,53,71,96,81,8,2.0943934033947578,0,Medium,No,Medium,69.28874238310038
20,92,46,74,49,59,8,3.922833239284099,0,Medium,No,Low,64.7992232521125
22,95,76,67,79,77,6,3.3583251366391256,1,Medium,No,Low,76.27338408999698
28,79,61,66,46,64,7,3.2627519552867534,0,Low,No,High,66.17165839748435
30,78,44,61,78,53,9,2.5411185129759826,0,High,Yes,Low,58.330758776920405
29,94,94,55,77,50,7,2.497583577478354,0,Low,Yes,High,76.53909913723696
33,76,41,75,60,71,6,3.884116438977191,2,Medium,Yes,Medium,60.582919555798235
19,93,66,76,59,50,8,2.5965449084682453,0,Low,No,Low,65.1647837036055
5,68,60,57,42,57,5,3.551010593437999,0,High,No,High,57.757877191751064
29,85,93,68,90,66,8,2.7862435964141583,1,Medium,Yes,Low,79.11290736025363
11,61,77,91,61,94,8,2.278508141569408,0,Low,No,High,78.11932246108749
13,68,54,50,86,93,6,2.0214305953907177,2,Low,Yes,High,64.78982687082194
28,68,60,78,43,57,7,3.0885146740305016,0,High,No,High,63.660567638613934
5,99,49,94,67,95,8,3.9515576370978653,0,Low,No,Medium,78.08200050679449
12,76,62,98,51,62,7,2.7382723876184087,0,High,Yes,Low,70.43112909619072
28,60,97,84,77,50,4,2.7143846679860895,0,Medium,Yes,Medium,76.2645787570402
15,84,95,89,90,60,9,2.688183235698884,0,Medium,No,High,86.01994524304925
21,99,78,63,75,83,7,3.0410876746097166,0,Low,Yes,High,82.41930965917103
12,84,44,84,86,44,5,2.8813297668485873,1,Medium,Yes,Medium,62.63897540344492
39,98,40,97,80,62,9,3.759829253454029,0,Medium,No,Medium,71.49583704975186
39,94,52,94,44,80,5,3.0110415834469806,0,Low,No,Low,71.6489800548664
